Preferred Label,Synonyms
reproductive process,single organism reproductive process
cellular component disassembly,cellular component disassembly at cellular level|cell structure disassembly
Amniota,amniotes|amniotes
oxide,oxides|oxide
GM09299 cell,GM09299
cellular amide metabolic process,amide metabolism
amide biosynthetic process,
GM10223 cell,GM10223
ND11843 cell,ND11843
ND11731 cell,ND11731
DA02130 cell,DA02130
ND04460 cell,ND04460
primary cultured cell,
cell,
native cell,cell in vivo
migratory cranial neural crest cell,
neuronal receptor cell,neuronal receptor cell (sensu Animalia)
early embryonic cell (metazoa),
DA00864 cell,DA00864
DB9G8 cell,DB9G8
ND12435 cell,ND12435
GM07513 cell,GM07513
pseudopodium,loboInOwlpodium|reticulopodium|axopodium|pseudopodial protrusion|pseudopod
IGF056/82 cell,IGF056/82
GM13419 cell,GM13419
ND09671 cell,ND09671
GM21117 cell,GM21117
GM08870 cell,GM08870
Donohue Syndrome,"""Leprechaunism"" EXACT []"
AG09107 cell,AG09107
AG07119 cell,AG07119
GM15557 cell,GM15557
DDC95 cell,DDC95
AG08703 cell,AG08703
PR00030 cell,PR00030
GM18124 cell,GM18124
DA00068 cell,DA00068
MTKP 97-12 cell,MTKP 97-12
GM01695 cell,GM01695
ML-1 cell,ML-1
DA04714 cell,DA04714
CL96f cell,CL96f
ND13302 cell,ND13302
GM13184 cell,GM13184
IL-A51 cell,IL-A51
ND09997 cell,ND09997
IGV001/96 cell,IGV001/96
immortal cell line cell,permanent cell line cell|continuous cell line cell
KRJ-1 cell,KRJ-1
AG11018 cell,AG11018
GIRARDI HEART C2 cell,GIRARDI HEART C2
ND09313 cell,ND09313
MM46T cell,MM46T
I(TL.m9) cell,I(TL.m9)
GM02132 cell,GM02132
oxo group,=O|OXO GROUP|oxo
GM18333 cell,GM18333
GM13464 cell,GM13464
IMG-656 cell,IMG-656
HEV0139 cell,HEV0139
DA02890 cell,DA02890
ND14031 cell,ND14031
AG16926 cell,AG16926
DA03711 cell,DA03711
IMG-911 cell,IMG-911
AG04451 cell,AG04451
DA04945 cell,DA04945
GM12039 cell,GM12039
ND14188 cell,ND14188
DA03395 cell,DA03395
GM03485 cell,GM03485
Hs 3.T cell,Hs 3.T
ND12565 cell,ND12565
IGF186/83 cell,IGF186/83
30-C7 cell,30-C7
STBCi028-A cell,SFC018-03-01|SFC018 clone 03-01
DA02060 cell,DA02060
GM02997 cell,GM02997
Or De cell,Or De
granulocyte migration,
PSI 2 BAG alpha cell,PSI 2 BAG alpha
DA03691 cell,DA03691
GM11303 cell,GM11303
YKG-1 cell,YKG-1
DA05465 cell,DA05465
GM17080 cell,GM17080
GM15759 cell,GM15759
B2.Sp cell,B2.Sp
ND03493 cell,ND03493
ND02798 cell,ND02798
IGL003/00 cell,IGL003/00
AA5 cell,AA5
ND02554 cell,ND02554
GM16442 cell,GM16442
DA06621 cell,DA06621
ND13592 cell,ND13592
upper urinary tract,
RH-30 cell,RH-30
ND00729 cell,ND00729
immortal African buffalo lung-derived cell line cell,
ND06974 cell,ND06974
HSC0013 cell,HSC0013|RHO
IGF059/82 cell,IGF059/82
IGF034/93 cell,IGF034/93
immortal coppery titi skin-derived fibroblast cell line cell,
IGF030/01 cell,IGF030/01
ND05536 cell,ND05536
ND09859 cell,ND09859
DA05472 cell,DA05472
GM17698 cell,GM17698
RCB0605 cell,RCB0605|SF8546
DA01690 cell,DA01690
GM11886 cell,GM11886
GM06423 cell,GM06423
DA00777 cell,DA00777
GM07678 cell,GM07678
P-190 cell,P-190
DA01773 cell,DA01773
GM12220 cell,GM12220
ND04885 cell,ND04885
DA02948 cell,DA02948
ND08324 cell,ND08324
RCB1108 cell,CRIP-MFGmKitLigand|RCB1108
ND12448 cell,ND12448
GM16490 cell,GM16490
DA04540 cell,DA04540
DA06498 cell,DA06498
GM04910 cell,GM04910
ND00374 cell,ND00374
GM05952 cell,GM05952
RCB1845 cell,&Delta;Ubc9+cUbc9-DT40|RCB1845
GM12491 cell,GM12491
S003641 cell,S003641
GM07815 cell,GM07815
RCB2402 cell,STIM1^-DT40|RCB2402
GM18146 cell,GM18146
IGF075/84 cell,IGF075/84
ND05276 cell,ND05276
GM07008 cell,GM07008
GM05926 cell,GM05926
GM12092 cell,GM12092
HQ00518 cell,HQ00518
BT-483 cell,BT-483
ND12119 cell,ND12119
DA06591 cell,DA06591
ND00259 cell,ND00259
DA00799 cell,DA00799
ND12254 cell,ND12254
GM02640 cell,GM02640
DA01600 cell,DA01600
Emery-Dreifuss muscular dystrophy,"Benign scapuloperoneal muscular dystrophy with early contractures|Emery-Dreifuss Muscular Dystrophy 2|Scapuloperoneal Syndrome, X Linked|Scapuloperoneal muscular dystrophy (disorder)|Emery-Dreifuss muscular dystrophy|Scapuloilioperoneal Atrophy with Cardiopathy|Muscular Dystrophy, Emery-Dreifuss, X-Linked|Muscular Dystrophy, Emery-Dreifuss, Autosomal Dominant|Muscular Dystrophy, Emery-Dreifuss Type|Emery-Dreifuss muscular dystrophy (disorder)|Emery-Dreifuss Muscular Dystrophy, Autosomal Recessive|Hauptmann-Thannhauser Muscular Dystrophy|EMD - Emery-Dreifuss muscular dystrophy|Muscular Dystrophy, Scapuloperoneal|Emery Dreifuss Syndrome"
ND09228 cell,ND09228
GM10663 cell,GM10663
immortal dog thoracic aorta-derived smooth muscle cell line cell,
GM15682 cell,GM15682
immortal human prostate epithelium-derived cell line cell,
AG09389 cell,AG09389
GM13280 cell,GM13280
ND06443 cell,ND06443
PNT2 cell,PNT2
ND12048 cell,ND12048
BB7.7 cell,BB7.7
GM15727 cell,GM15727
HeLa NR1 cell,HeLa NR1
hydrogencarbonate,Bicarbonate|[CO2(OH)](-)|Acid carbonate|BICARBONATE ION|hydrogen carbonate|HCO3(-)|HCO3-|hydrogen(trioxidocarbonate)(1-)|hydrogentrioxocarbonate(1-)|Hydrogencarbonate|hydrogentrioxocarbonate(IV)|hydrogencarbonate|hydroxidodioxidocarbonate(1-)|hydrogencarbonate(1-)
AG03059 cell,AG03059
sulfur oxoacid,oxoacids of sulfur|sulfur oxoacids
ND08166 cell,ND08166
ND09768 cell,ND09768
RCB2032 cell,UV&middot;BAL-14.2|RCB2032
P subscript(3) NP/PFn cell,P subscript(3) NP/PFn
GM01509 cell,GM01509
GM09476 cell,GM09476
ND02323 cell,ND02323
HQ00998 cell,HQ00998
DA05949 cell,DA05949
DA02994 cell,DA02994
HeLa ICRP cell,HeLa ICRP
ND02893 cell,ND02893
IGF065/88 cell,IGF065/88
ND02716 cell,ND02716
GM09063 cell,GM09063
B9 cell,B9
CCD-43Sk cell,CCD-43Sk
ND09155 cell,ND09155
DA03390 cell,DA03390
GM03161 cell,GM03161
viable,
"V79,B7 cell","V79,B7"
mononuclear cell,peripheral blood mononuclear cell|mononuclear leukocyte
immature conventional dendritic cell,immature myeloid dendritic cell
TSHR-T3-365 cell,TSHR-T3-365
DA03788 cell,DA03788
1G10 cell,1G10
IGF080/87 cell,IGF080/87
ND13703 cell,ND13703
GM16970 cell,GM16970
DA02034 cell,DA02034
DA01005 cell,DA01005
GM17389 cell,GM17389
GM50323 cell,GM50323
GM19395 cell,GM19395
DA00179 cell,DA00179
GM11310 cell,GM11310
IGA033/83 cell,IGA033/83
GM17898 cell,GM17898
GM17373 cell,GM17373
DA05509 cell,DA05509
"CD34-positive, CD38-positive granulocyte monocyte progenitor",
macrophage dendritic cell progenitor,MDP
IGF025/90 cell,IGF025/90
ND12180 cell,ND12180
GM17895 cell,GM17895
DA05737 cell,DA05737
HQ00975 cell,HQ00975
ND00006 cell,ND00006
ND11106 cell,ND11106
MA2.1 cell,MA2.1
ND03159 cell,ND03159
GM10975 cell,GM10975
GM12791 cell,GM12791
DA05637 cell,DA05637
ND14768 cell,ND14768
DA00843 cell,DA00843
GM21077 cell,GM21077
AG19285 cell,AG19285
oxygen molecular entity,oxygen molecular entities|oxygen molecular entity
GM01014 cell,GM01014
ND06299 cell,ND06299
immortal walking catfish gill-derived cell line cell,
DA01895 cell,DA01895
IGF049/92 cell,IGF049/92
GM03522 cell,GM03522
ND11026 cell,ND11026
GM14901 cell,GM14901
GM17309 cell,GM17309
SSE-5 cell,SSE-5
ND09806 cell,ND09806
ND00400 cell,ND00400
RCB0773 cell,A8|RCB0773
AG18376 cell,AG18376
L12.2 cell,L12.2
mevalonic aciduria,"""Mevalonate Kinase Deficiency"" EXACT []"
ND00284 cell,ND00284
DA03261 cell,DA03261
GM18935 cell,GM18935
RCB2036 cell,UV&middot;BAL-18.1|RCB2036
DA04131 cell,DA04131
GM12620 cell,GM12620
AG05413 cell,AG05413
IGF044/86 cell,IGF044/86
ND13784 cell,ND13784
FH 29 cell,FH 29
ND11660 cell,ND11660
immortal follicular fluid-derived cell line cell,
IGF064/82 cell,IGF064/82
ND13605 cell,ND13605
DA01121 cell,DA01121
HQ00119 cell,HQ00119
left eye,left orbital part of face|left orbital region|left eyeball
AG16744 cell,AG16744
GM15226 cell,GM15226
ND12677 cell,ND12677
ND00192 cell,ND00192
AG06952 cell,AG06952
ND06357 cell,ND06357
DA04140 cell,DA04140
GM16785 cell,GM16785
IGF103/84 cell,IGF103/84
IGF045/99 cell,IGF045/99
GM17053 cell,GM17053
IGL037/99 cell,IGL037/99
ND12483 cell,ND12483
ND08663 cell,ND08663
GM17427 cell,GM17427
CS00iCTR-n2 cell,
M1/69.16.11.HL cell,M1/69.16.11.HL
HSC0157 cell,CHI147|HSC0157
ND00117 cell,ND00117
AG08184 cell,AG08184
GM07849 cell,GM07849
GM12890 cell,GM12890
Ig(5b)6.3 cell,Ig(5b)6.3
FIGR cell,FIGR
IGF047/98 cell,IGF047/98
GM20305 cell,GM20305
Hs 888Lu cell,Hs 888Lu
ND02435 cell,ND02435
GM22232 cell,GM22232
ND05419 cell,ND05419
Hs 856.T cell,Hs 856.T
ND11668 cell,ND11668
ND10854 cell,ND10854
GM05569 cell,GM05569
RCB2087 cell,AZ521|RCB2087
thoracic skeleton,skeleton of thorax|thoracic skeleton|thoracic part of axial skeleton
membrane-spanning 4-domains subfamily A member 1,CD20|Ly-44|Ms4a2|leukocyte surface antigen Leu-16|B-cell differentiation antigen Ly-44|B-cell surface antigen CD20|B-lymphocyte antigen CD20|B-lymphocyte surface antigen B1|lymphocyte antigen 44|Bp35|MS4A1
ADP-ribosyl cyclase,
ND03528 cell,ND03528
GM00467 cell,GM00467
ND02294 cell,ND02294
bloom syndrome,"""Bloom-Torre-Machacek syndrome"" EXACT [CSP2005:1254-7913]|""Congenital Telangiectatic Erythema syndrome"" EXACT [NCI2004_11_17:C2903]|""Bloom syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:4434006]"
IGF044/91 cell,IGF044/91
HQ00920 cell,HQ00920
DA05935 cell,DA05935
color vision defect,
GM17191 cell,GM17191
immortal area X-derived cell line cell,
GM00544 cell,GM00544
Ptk2 cell,Ptk2
ND13879 cell,ND13879
DBS-FRhL-2 cell,DBS-FRhL-2
MB-04 cell,MB-04
DA02188 cell,DA02188
GM09733 cell,GM09733
GM18668 cell,GM18668
DA05091 cell,DA05091
DA03856 cell,DA03856
GM19038 cell,GM19038
RCB1692 cell,RCB1692|Tpit/E
ND11138 cell,ND11138
ND09581 cell,ND09581
GM05852 cell,GM05852
GM18065 cell,GM18065
IGF026/96 cell,IGF026/96
GM15887 cell,GM15887
GM01840 cell,GM01840
DA01992 cell,DA01992
apoptotic signaling pathway,apoptotic signalling pathway|induction of apoptosis by extracellular signals
execution phase of apoptosis,apoptosis|execution phase of apoptotic process
IGF006/01 cell,IGF006/01
GM 490 cell,GM 490
immortal human testis-derived fibroblast cell line cell,
AG13077 cell,AG13077
GM09822 cell,GM09822
DA02125 cell,DA02125
DA05206 cell,DA05206
GM20035 cell,GM20035
GM02608 cell,GM02608
ND11802 cell,ND11802
GM16749 cell,GM16749
GM17040 cell,GM17040
HQ00727 cell,HQ00727
GM03085 cell,GM03085
F09128 cell,
IGF022/79 cell,IGF022/79
DA05788 cell,DA05788
RCB1281 cell,RCB1281|TGBC51TKB
GM15324 cell,GM15324
DA01778 cell,DA01778
AU10038 cell,AU10038
ND14175 cell,ND14175
RCB3053 cell,KU812-F|RCB3053
IGF042/92 cell,IGF042/92
GM18571 cell,GM18571
H36.12d cell,H36.12d
AG07617 cell,AG07617
HQ00207 cell,HQ00207
RCB1728 cell,Hpr-4|RCB1728
GM13800 cell,GM13800
GM10139 cell,GM10139
XPH16PV cell,XPH16PV
immortal mouse embryo-derived fibroblast cell line cell,
MC2/3 cell,MC2/3
immortal mouse organism part-derived fibroblast cell line cell,
GM18064 cell,GM18064
IGF035/89 cell,IGF035/89
AG06839 cell,AG06839
ND03711 cell,ND03711
ND12235 cell,ND12235
AG06244 cell,AG06244
ND11164 cell,ND11164
ND03364 cell,ND03364
separation into different composition objective,
Hs 208.Sp cell,Hs 208.Sp
DA06468 cell,DA06468
ND08334 cell,ND08334
DA05151 cell,DA05151
DA05037 cell,DA05037
GM11100 cell,GM11100
CVC.7 cell,CVC.7
GE95 cell,GE95
RCB1576 cell,&psi;CRIP-Rx-ETBR-bsr|RCB1576
RCB2073 cell,UVECB6-6.1B|RCB2073
ND00703 cell,ND00703
DA06059 cell,DA06059
GM07441 cell,GM07441
DA04374 cell,DA04374
PVBC-OI197 cell,PVBC-OI197
AU10101 cell,AU10101
DA06562 cell,DA06562
PVBC-OI553 cell,PVBC-OI553
DA04136 cell,DA04136
ND00044 cell,ND00044
immortal thoracic aorta-derived smooth muscle cell line cell,
ND10974 cell,ND10974
AG08375 cell,AG08375
15F7 cell,15F7
ND13378 cell,ND13378
GM04229 cell,GM04229
GM20850 cell,GM20850
ND10847 cell,ND10847
WC00036 cell,WC00036
OVSAYO cell,OVSAYO
ND10348 cell,ND10348
IGF039/95 cell,IGF039/95
GM01227 cell,GM01227
DA04730 cell,DA04730
GM17169 cell,GM17169
GM15583 cell,GM15583
immortal dog epithelial cell line cell,
gastric adenocarcinoma,stomach adenocarcinoma|adenocarcinoma of stomach
ND00691 cell,ND00691
DA01467 cell,DA01467
immortal Coquerel's mouse lemur skin-derived fibroblast cell line cell,
GM13622 cell,GM13622
AG06240 cell,AG06240
GM06037 cell,GM06037
IMG-1347 cell,IMG-1347
HSC0083 cell,HSC0083|WY072
GM14952 cell,GM14952
266-6 cell,266-6
IGF113/87 cell,IGF113/87
ND02558 cell,ND02558
ND09685 cell,ND09685
DA04299 cell,DA04299
GM11779 cell,GM11779
GM06125 cell,GM06125
GM09755 cell,GM09755
GM00959 cell,GM00959
GM02906 cell,GM02906
DA00713 cell,DA00713
GM04709 cell,GM04709
DA01414 cell,DA01414
GM18381 cell,GM18381
GM14100 cell,GM14100
IGF028/00 cell,IGF028/00
GM08177 cell,GM08177
IGF104/89 cell,IGF104/89
GM08683 cell,GM08683
GM05160 cell,GM05160
ND05166 cell,ND05166
NCI-H1568 cell,NCI-H1568
DA03029 cell,DA03029
IGF038/95 cell,IGF038/95
GM21480 cell,GM21480
DMS 153 cell,DMS 153
GM11654 cell,GM11654
IGF076/78 cell,IGF076/78
ND14338 cell,ND14338
neuronal and glio-neuronal neoplasm,"""neuronal and mixed neuronal-glial tumor (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:302831000]|""neuronal and Glio-neuronal tumor"" EXACT [NCI2004_11_17:C4747]"
GM17970 cell,GM17970
RCB1810 cell,PI3Kp110&alpha;^(-) DT40|RCB1810
GM12895 cell,GM12895
GM12762 cell,GM12762
GM15417 cell,GM15417
immortal mucosa of vagina-derived cell line cell,
GM04506 cell,GM04506
GM21383 cell,GM21383
ND11088 cell,ND11088
GM17367 cell,GM17367
GM05914 cell,GM05914
DA06504 cell,DA06504
OP9 cell,OP9
MELC DS19 cell,MELC DS19
GM04804 cell,GM04804
urine,
ND13595 cell,ND13595
GM17922 cell,GM17922
ND00975 cell,ND00975
GM14296 cell,GM14296
DA06392 cell,DA06392
GM07239 cell,GM07239
DNA binding,plasmid binding|structure specific DNA binding|microtubule/chromatin interaction|structure-specific DNA binding
nucleic acid binding,base pairing
molecular_function,molecular function
GM01300 cell,GM01300
HQ00358 cell,HQ00358
GM12606 cell,GM12606
ESK-4 cell,ESK-4
DA00549 cell,DA00549
DA05948 cell,DA05948
ND06168 cell,ND06168
7C6.5.4 cell,7C6.5.4
GM05823 cell,GM05823
DA03761 cell,DA03761
ND10491 cell,ND10491
S003650 cell,S003650
IGF066/91 cell,IGF066/91
DA06200 cell,DA06200
WI-38 (HSV-2)Tr cell,WI-38 (HSV-2)Tr
CPAE cell,CPAE
ND11319 cell,ND11319
ND10652 cell,ND10652
GM07290 cell,GM07290
ND12909 cell,ND12909
DA03209 cell,DA03209
ND08141 cell,ND08141
GM03645 cell,GM03645
DA06267 cell,DA06267
RCB1876 cell,211-LCL-MUC1|RCB1876
GM11604 cell,GM11604
AG08319 cell,AG08319
ND00208 cell,ND00208
IGF086/78 cell,IGF086/78
VERO 76 cell,VERO 76
IGL004/98 cell,IGL004/98
GM07172 cell,GM07172
AG06560 cell,AG06560
GM09942 cell,GM09942
GM03720 cell,GM03720
ND14119 cell,ND14119
ND10137 cell,ND10137
639-V cell,639-V
GM12909 cell,GM12909
Dubowitz Syndrome,"""Dubowitz's syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:2593002]"
"ACYL-CoA DEHYDROGENASE, long-CHAIN, deficiency OF","""long chain acyl-CoA dehydrogenase deficiency (disorder)"" EXACT [SNOMEDCT_2005_07_31:237996001]"
"ADRENOLEUKODYSTROPHY, AUTOSOMAL NEONATAL FORM",
hypohidrotic ectodermal dysplasia,"""Ectodermal Dysplasia 1, Anhydrotic"" EXACT []|""Hypohidrotic ectodermal dysplasia syndrome (disorder) [Ambiguous]"" EXACT [SNOMEDCT_2005_07_31:4826006]|""Christ-Siemens-Touraine Syndrome"" EXACT []|""Hypohidrotic X-linked ectodermal dysplasia (disorder)"" EXACT [SNOMEDCT_2005_07_31:239007005]|""Hypohidrotic ectodermal dysplasia syndrome"" EXACT [SNOMEDCT_2005_07_31:7731005]"
"HYDROCEPHALUS, AGYRIA, AND RETINAL DYSPLASIA","""Warburg syndrome (disorder)"" EXACT [SNOMEDCT_2005_07_31:91064002]|""Walker-Warburg congenital muscular dystrophy (disorder)"" EXACT [SNOMEDCT_2005_07_31:111504002]"
Leber congenital amaurosis,"""Leber's amaurosis (disorder)"" EXACT [SNOMEDCT_2005_07_31:193413001]|""AMAUROSIS CONGENITA OF LEBER I"" EXACT []|""Leber's disease"" EXACT [CSP2005:2042-6601]|""Leber's disease"" EXACT [CSP2005:5000-0048]|""Leber's congenital amaurosis"" EXACT [CSP2005:1114-9698]"
IGF057/93 cell,IGF057/93
RCB1701 cell,MY|RCB1701
IGF013/80 cell,IGF013/80
ND13304 cell,ND13304
ND10363 cell,ND10363
GM21368 cell,GM21368
AG07589 cell,AG07589
GM12045 cell,GM12045
CS152isALS-Tn2 cell,
IGF042/81 cell,IGF042/81
ND10293 cell,ND10293
GM08812 cell,GM08812
GM18946 cell,GM18946
DA00721 cell,DA00721
NF96 cell,NF96
AG08252 cell,AG08252
ND12560 cell,ND12560
hemangiopericytic tumor,"""Hemangiopericytic neoplasm"" EXACT [SNOMEDCT_2005_07_31:189866002]|""Hemangiopericytic neoplasm NOS (morphologic abnormality)"" EXACT [SNOMEDCT_2005_07_31:189867006]"
GM16084 cell,GM16084
ND14799 cell,ND14799
GM04921 cell,GM04921
GM00523 cell,GM00523
ND14091 cell,ND14091
IGF115/83 cell,IGF115/83
GM13411 cell,GM13411
AU10080 cell,AU10080
DA01075 cell,DA01075
immortal rat septum of telencephalon-derived cell line cell,
GM04478 cell,GM04478
GM02581 cell,GM02581
IGF079/76 cell,IGF079/76
OVCAR-4 cell,OVCAR-4
ND07107 cell,ND07107
ND07038 cell,ND07038
GM20769 cell,GM20769
DA05934 cell,DA05934
HEV0060 cell,HEV0060
GM16435 cell,GM16435
ND01887 cell,ND01887
IGF033/81 cell,IGF033/81
ND05979 cell,ND05979
ND12177 cell,ND12177
DA01107 cell,DA01107
EJG cell,EJG
immortal mouse islet of Langerhans-derived cell line cell,
GM03889 cell,GM03889
GM02633 cell,GM02633
DA02073 cell,DA02073
GM17593 cell,GM17593
AG13901 cell,AG13901
YPEN-1 cell,YPEN-1
AG08746 cell,AG08746
SW 156 cell,SW 156
ND03958 cell,ND03958
AG13209 cell,AG13209
DA04211 cell,DA04211
immortal erythroblast cell line cell,immortal erythroblast cell line
DA04860 cell,DA04860
establishment of organelle localization,establishment of organelle localisation
establishment of vesicle localization,establishment of vesicle localisation
regulation of biological process,regulation of physiological process
glycogen storage disease type III,"""deficiency of dextrin"" EXACT [SNOMEDCT_2005_07_31:124472001]|""amylo 1,6 glucosidase deficiency"" EXACT [CSP2005:1849-3893]|""deficiency of debranching enzyme"" EXACT [SNOMEDCT_2005_07_31:124474000]|""Glycogen storage disease, type III (disorder)"" EXACT [SNOMEDCT_2005_07_31:66937008]"
GH 3 cell,GH 3
ND03786 cell,ND03786
ND05029 cell,ND05029
IGF094/81 cell,IGF094/81
IGF033/84 cell,IGF033/84
GM17266 cell,GM17266
ND02474 cell,ND02474
mesenchyme derived from head neural crest,head mesenchyme from neural crest|head neural crest derived mesenchyme|head mesenchyme from cranial neural crest
BNL SV A.8 cell,BNL SV A.8
DA05906 cell,DA05906
DA06535 cell,DA06535
ND02205 cell,ND02205
IGF034/96 cell,IGF034/96
AG06291 cell,AG06291
ND14147 cell,ND14147
GM16238 cell,GM16238
AG04454 cell,AG04454
GM17038 cell,GM17038
AG12602 cell,AG12602
HQ00346 cell,HQ00346
GM13639 cell,GM13639
DA01567 cell,DA01567
paired fin,pelvic/pectoral fin
epiblast (generic),primitive ectoderm|blastocyst|ectoblast|epiblastus|epiblast
gill,
gland,Druese|glandula|glandular organ
GM00981 cell,GM00981
ND08243 cell,ND08243
DA03965 cell,DA03965
GM03606 cell,GM03606
DA00021 cell,DA00021
GM11616 cell,GM11616
tract of brain,landmark tracts|brain tract
DA04950 cell,DA04950
RLC 27 cell,RLC 27
AG06284 cell,AG06284
GM00318 cell,GM00318
immortal human calf-derived fibroblast cell line cell,
RCB2816 cell,A110L|RCB2816
EB176 (JC) cell,EB176 (JC)
GM18035 cell,GM18035
male reproductive organ benign neoplasm,
organ system benign neoplasm,
immune system cancer,
breast benign neoplasm,
ND03792 cell,ND03792
HQ00479 cell,HQ00479
GM21733 cell,GM21733
DA05514 cell,DA05514
GM02052 cell,GM02052
5c8 cell,5c8
ND14114 cell,ND14114
tumor virus infectious disease,
GM20818 cell,GM20818
GM03189 cell,GM03189
ND13571 cell,ND13571
RCB2158 cell,RCB2158|UE7T-9
HQ01007 cell,HQ01007
GM03383 cell,GM03383
ND09856 cell,ND09856
ND08030 cell,ND08030
GM20758 cell,GM20758
GM20937 cell,GM20937
HaK cell,HaK
GMC0036 cell,A0026|GMC0036
ND08153 cell,ND08153
JOSK-I cell,JOSK-I
HQ00967 cell,HQ00967
GM17002 cell,GM17002
GM18335 cell,GM18335
AU10155 cell,AU10155
Eukaryota,Eucarya|Eucaryotae|Eukarya|Eukaryotae|eukaryotes|eucaryotes|eukaryotes|eucaryotes|eukaryotes
GM12777 cell,GM12777
GM05133 cell,GM05133
RCB1767 cell,&Delta;Rad52&Delta;XRCC3-DT40|RCB1767
RM91 cell,RM91
aminoglycan,aminoglycans
RCB0588 cell,RCB0588|SF8760
IGF069/91 cell,IGF069/91
DA05045 cell,DA05045
AU10169 cell,AU10169
ND13490 cell,ND13490
immortal megakaryocyte-erythroid progenitor cell line cell,immortal megakaryocyte-erythroid progenitor cell line
